name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"R$integer.<init>()","com.qihoo.ruletestcases.R$integer.<init>().1765d1ccc10309f43e8603cb6ecd1ff6",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1951,7104,N,"void R$integer.<init>()(class com.qihoo.ruletestcases.R$integer *this)",0,0.00,0.00,0,0,1951
"R$layout.<init>()","com.qihoo.ruletestcases.R$layout.<init>().6320416843edb7bd9f8d2d66de312e82",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,1957,7104,N,"void R$layout.<init>()(class com.qihoo.ruletestcases.R$layout *this)",0,0.00,0.00,0,0,1957
"R$mipmap.<init>()","com.qihoo.ruletestcases.R$mipmap.<init>().a3fa87da50b3149b1b800a474ecf21fa",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,2006,7104,N,"void R$mipmap.<init>()(class com.qihoo.ruletestcases.R$mipmap *this)",0,0.00,0.00,0,0,2006
"R$string.<init>()","com.qihoo.ruletestcases.R$string.<init>().6215b679aa495bbf2075c645fa952abd",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,2009,7104,N,"void R$string.<init>()(class com.qihoo.ruletestcases.R$string *this)",0,0.00,0.00,0,0,2009
"R$style.<init>()","com.qihoo.ruletestcases.R$style.<init>().ee5cf0f3522451af64bc393bc0ff2aab",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,2045,7104,N,"void R$style.<init>()(class com.qihoo.ruletestcases.R$style *this)",0,0.00,0.00,0,0,2045
"void R$styleable.<clinit>()","com.qihoo.ruletestcases.R$styleable.<clinit>():void.4d2082976b6e1d9e5eedca86afca8b0d",0,0,SYMOPS TIMEOUT (334),334,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,2466,7104,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",0,0.00,0.00,0,0,
"R$styleable.<init>()","com.qihoo.ruletestcases.R$styleable.<init>().a8fdd5cd99cb6127724133ed19e67e8e",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,2399,7104,N,"void R$styleable.<init>()(class com.qihoo.ruletestcases.R$styleable *this)",0,0.00,0.00,0,0,2399
"R.<init>()","com.qihoo.ruletestcases.R.<init>().df7ea9ecc1fa8f4da77475fe10794320",1,0,NONE,18,0,app/build/generated/source/r/release/com/qihoo/ruletestcases/R.java,10,7104,N,"void R.<init>()(class com.qihoo.ruletestcases.R *this)",0,0.00,0.00,0,0,10
"SharedPerferenceDataRuleTest.<init>()","com.qihoo.ruletestcases.SharedPerferenceDataRuleTest.<init>().264e024c01203ce5bdc12b395b29ef99",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/SharedPerferenceDataRuleTest.java,14,27,N,"void SharedPerferenceDataRuleTest.<init>()(class com.qihoo.ruletestcases.SharedPerferenceDataRuleTest *this)",0,0.00,0.00,0,0,14
"void SharedPerferenceDataRuleTest.test()","com.qihoo.ruletestcases.SharedPerferenceDataRuleTest.test():void.8de5912d098981e60d87ac7d79dd410b",1,0,NONE,86,0,app/src/main/java/com/qihoo/ruletestcases/SharedPerferenceDataRuleTest.java,19,27,N,"void void SharedPerferenceDataRuleTest.test()(class com.qihoo.ruletestcases.SharedPerferenceDataRuleTest *this)",0,0.00,0.00,0,0,19 20 21 22 23 24 25
